trade_id,symbol,side,entry_time_utc,entry_price,lowest_100_price,highest_100_price,atr_14,stop_loss_price,take_profit_price,risk_usdt,target_reward_usdt,result,pnl_usdt,holding_bars,target,trend_100b_pct,trend_50b_pct,trend_20b_pct,stoch_pos_pct,norm_atr_pct,volatility_range_pct,volume_ratio,entry_hour,dist_to_100low_pct,last_bar_body_ratio,last_bar_is_bullish
1154,TACUSDT,LONG,2026-08-15 15:00:00 UTC,0.00284,0.00256,0.00299,7e-05,0.00243,0.00366,7.26,14.53,LOSS,-7.26,89,0,-4.3771,0.0,7.9848,65.1163,2.4648,15.1408,2.6482,15,9.8592,0.625,1
1155,TACUSDT,LONG,2026-08-15 16:00:00 UTC,0.0029,0.00256,0.00298,7e-05,0.00242,0.00387,8.31,16.62,LOSS,-8.31,88,0,-2.3569,2.4735,10.2662,80.9524,2.4138,14.4828,2.8452,16,11.7241,0.5455,1
1156,TACUSDT,LONG,2026-08-15 17:00:00 UTC,0.0029,0.00256,0.00298,7e-05,0.00242,0.00386,8.28,16.56,LOSS,-8.28,87,0,-1.3605,4.6931,8.209,80.9524,2.4138,14.4828,2.9834,17,11.7241,0.0,0
1157,TACUSDT,LONG,2026-08-15 18:00:00 UTC,0.00291,0.00256,0.00298,7e-05,0.00242,0.00388,8.37,16.74,LOSS,-8.37,86,0,0.692,6.2044,11.0687,83.3333,2.4055,14.433,3.0572,18,12.0275,0.1667,1
1158,TACUSDT,LONG,2026-08-15 19:00:00 UTC,0.00288,0.00256,0.00298,7e-05,0.00243,0.00378,7.83,15.67,LOSS,-7.83,85,0,0.0,3.9855,9.1255,76.1905,2.4306,14.5833,3.1553,19,11.1111,0.8,0
1159,TACUSDT,LONG,2026-08-15 20:00:00 UTC,0.00289,0.00256,0.00298,7e-05,0.00243,0.00381,7.97,15.95,LOSS,-7.97,84,0,1.049,4.7101,9.4697,78.5714,2.4221,14.5329,3.1466,20,11.4187,0.1667,1
1160,TACUSDT,LONG,2026-08-15 21:00:00 UTC,0.00287,0.00256,0.00298,6e-05,0.00243,0.00374,7.63,15.26,LOSS,-7.63,83,0,0.3497,3.9855,9.1255,73.8095,2.0906,14.6341,3.1166,21,10.8014,0.4,0
1161,TACUSDT,LONG,2026-08-15 22:00:00 UTC,0.00284,0.00256,0.00298,6e-05,0.00243,0.00365,7.19,14.37,LOSS,-7.19,82,0,-0.3509,4.4118,8.3969,66.6667,2.1127,14.7887,2.9942,22,9.8592,0.5,0
1162,TACUSDT,LONG,2026-08-15 23:00:00 UTC,0.00281,0.00256,0.00298,6e-05,0.00243,0.00355,6.66,13.32,LOSS,-6.66,81,0,-1.7483,2.1818,7.6628,59.5238,2.1352,14.9466,2.5405,23,8.8968,0.5,0
1163,TACUSDT,LONG,2026-08-16 00:00:00 UTC,0.00279,0.00256,0.00298,6e-05,0.00244,0.0035,6.36,12.71,LOSS,-6.36,80,0,-2.7875,1.8248,6.0837,54.7619,2.1505,15.0538,1.5398,0,8.2437,0.6667,0
1164,TACUSDT,LONG,2026-08-16 01:00:00 UTC,0.00278,0.00256,0.00298,6e-05,0.00244,0.00346,6.12,12.24,LOSS,-6.12,79,0,-3.1359,1.4599,4.9057,52.381,2.1583,15.1079,1.4039,1,7.9137,0.2,0
