Trade_ID,Symbol,Side,Entry_Time_UTC,Entry_Unix_ms,Entry_Unix_sec,Exit_Time_UTC,Exit_Unix_ms,Exit_Unix_sec,Entry_Price,Lowest_100_Price,ATR_14,Stop_Loss_Price,Take_Profit_Price,Exit_Price,Position_Size_USDT,Risk_USDT,Target_Reward_USDT,Result,PnL_USDT,PnL_Percent,Holding_Bars
1148,TACUSDT,LONG,2026-08-15 09:00:00 UTC,1786784400000,1786784400,2026-08-15 12:59:59 UTC,1786798799999,1786798799,0.00265,0.00256,4e-05,0.00248,0.00298,0.00298,50.0,3.11,6.22,WIN,6.22,12.44,4
1149,TACUSDT,LONG,2026-08-15 10:00:00 UTC,1786788000000,1786788000,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00268,0.00256,4e-05,0.00248,0.00307,0.00248,50.0,3.67,7.34,LOSS,-3.67,-7.34,94
1150,TACUSDT,LONG,2026-08-15 11:00:00 UTC,1786791600000,1786791600,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00272,0.00256,4e-05,0.00248,0.00322,0.00248,50.0,4.53,9.06,LOSS,-4.53,-9.06,93
1151,TACUSDT,LONG,2026-08-15 12:00:00 UTC,1786795200000,1786795200,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00274,0.00256,5e-05,0.00247,0.0033,0.00247,50.0,5.03,10.06,LOSS,-5.03,-10.06,92
1152,TACUSDT,LONG,2026-08-15 13:00:00 UTC,1786798800000,1786798800,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00292,0.00256,6e-05,0.00244,0.00388,0.00244,50.0,8.24,16.47,LOSS,-8.24,-16.47,91
1153,TACUSDT,LONG,2026-08-15 14:00:00 UTC,1786802400000,1786802400,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00279,0.00256,7e-05,0.00243,0.0035,0.00243,50.0,6.42,12.83,LOSS,-6.42,-12.83,90
1154,TACUSDT,LONG,2026-08-15 15:00:00 UTC,1786806000000,1786806000,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00284,0.00256,7e-05,0.00243,0.00366,0.00243,50.0,7.26,14.53,LOSS,-7.26,-14.53,89
1155,TACUSDT,LONG,2026-08-15 16:00:00 UTC,1786809600000,1786809600,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.0029,0.00256,7e-05,0.00242,0.00387,0.00242,50.0,8.31,16.62,LOSS,-8.31,-16.62,88
1156,TACUSDT,LONG,2026-08-15 17:00:00 UTC,1786813200000,1786813200,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.0029,0.00256,7e-05,0.00242,0.00386,0.00242,50.0,8.28,16.56,LOSS,-8.28,-16.56,87
1157,TACUSDT,LONG,2026-08-15 18:00:00 UTC,1786816800000,1786816800,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00291,0.00256,7e-05,0.00242,0.00388,0.00242,50.0,8.37,16.74,LOSS,-8.37,-16.74,86
1158,TACUSDT,LONG,2026-08-15 19:00:00 UTC,1786820400000,1786820400,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00288,0.00256,7e-05,0.00243,0.00378,0.00243,50.0,7.83,15.67,LOSS,-7.83,-15.67,85
1159,TACUSDT,LONG,2026-08-15 20:00:00 UTC,1786824000000,1786824000,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00289,0.00256,7e-05,0.00243,0.00381,0.00243,50.0,7.97,15.95,LOSS,-7.97,-15.95,84
1160,TACUSDT,LONG,2026-08-15 21:00:00 UTC,1786827600000,1786827600,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00287,0.00256,6e-05,0.00243,0.00374,0.00243,50.0,7.63,15.26,LOSS,-7.63,-15.26,83
1161,TACUSDT,LONG,2026-08-15 22:00:00 UTC,1786831200000,1786831200,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00284,0.00256,6e-05,0.00243,0.00365,0.00243,50.0,7.19,14.37,LOSS,-7.19,-14.37,82
1162,TACUSDT,LONG,2026-08-15 23:00:00 UTC,1786834800000,1786834800,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00281,0.00256,6e-05,0.00243,0.00355,0.00243,50.0,6.66,13.32,LOSS,-6.66,-13.32,81
1163,TACUSDT,LONG,2026-08-16 00:00:00 UTC,1786838400000,1786838400,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00279,0.00256,6e-05,0.00244,0.0035,0.00244,50.0,6.36,12.71,LOSS,-6.36,-12.71,80
1164,TACUSDT,LONG,2026-08-16 01:00:00 UTC,1786842000000,1786842000,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00278,0.00256,6e-05,0.00244,0.00346,0.00244,50.0,6.12,12.24,LOSS,-6.12,-12.24,79
1165,TACUSDT,LONG,2026-08-16 02:00:00 UTC,1786845600000,1786845600,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00275,0.00256,6e-05,0.00244,0.00338,0.00244,50.0,5.68,11.36,LOSS,-5.68,-11.36,78
1166,TACUSDT,LONG,2026-08-16 03:00:00 UTC,1786849200000,1786849200,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00274,0.00256,6e-05,0.00244,0.00332,0.00244,50.0,5.3,10.61,LOSS,-5.3,-10.61,77
1167,TACUSDT,LONG,2026-08-16 04:00:00 UTC,1786852800000,1786852800,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00279,0.00256,6e-05,0.00244,0.00347,0.00244,50.0,6.13,12.27,LOSS,-6.13,-12.27,76
1168,TACUSDT,LONG,2026-08-16 05:00:00 UTC,1786856400000,1786856400,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00275,0.00256,6e-05,0.00244,0.00337,0.00244,50.0,5.63,11.26,LOSS,-5.63,-11.26,75
1169,TACUSDT,LONG,2026-08-16 06:00:00 UTC,1786860000000,1786860000,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00274,0.00256,6e-05,0.00244,0.00332,0.00244,50.0,5.31,10.61,LOSS,-5.31,-10.61,74
1170,TACUSDT,LONG,2026-08-16 07:00:00 UTC,1786863600000,1786863600,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00274,0.00256,6e-05,0.00245,0.00331,0.00245,50.0,5.28,10.56,LOSS,-5.28,-10.56,73
1171,TACUSDT,LONG,2026-08-16 08:00:00 UTC,1786867200000,1786867200,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00277,0.00256,6e-05,0.00245,0.0034,0.00245,50.0,5.75,11.49,LOSS,-5.75,-11.49,72
1172,TACUSDT,LONG,2026-08-16 09:00:00 UTC,1786870800000,1786870800,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00277,0.00256,5e-05,0.00245,0.00341,0.00245,50.0,5.74,11.49,LOSS,-5.74,-11.49,71
1173,TACUSDT,LONG,2026-08-16 10:00:00 UTC,1786874400000,1786874400,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00276,0.00256,5e-05,0.00246,0.00335,0.00246,50.0,5.44,10.88,LOSS,-5.44,-10.88,70
1174,TACUSDT,LONG,2026-08-16 11:00:00 UTC,1786878000000,1786878000,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00275,0.00256,5e-05,0.00246,0.00334,0.00246,50.0,5.34,10.67,LOSS,-5.34,-10.67,69
1175,TACUSDT,LONG,2026-08-16 12:00:00 UTC,1786881600000,1786881600,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00275,0.00256,5e-05,0.00246,0.00332,0.00246,50.0,5.19,10.37,LOSS,-5.19,-10.37,68
1176,TACUSDT,LONG,2026-08-16 13:00:00 UTC,1786885200000,1786885200,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00274,0.00256,5e-05,0.00247,0.0033,0.00247,50.0,5.02,10.05,LOSS,-5.02,-10.05,67
1177,TACUSDT,LONG,2026-08-16 14:00:00 UTC,1786888800000,1786888800,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00276,0.00256,5e-05,0.00247,0.00333,0.00247,50.0,5.22,10.44,LOSS,-5.22,-10.44,66
1178,TACUSDT,LONG,2026-08-16 15:00:00 UTC,1786892400000,1786892400,2026-08-19 07:59:59 UTC,1787126399999,1787126399,0.00279,0.00256,5e-05,0.00247,0.00343,0.00247,50.0,5.75,11.5,LOSS,-5.75,-11.5,65
