Sıra,Parite,Toplam İşlem Sayısı,Kazanma Oranı (%),Net Kâr / Zarar ($),Kasa Büyümesi (%),Bitiş Bakiyesi ($)
323,SUIUSDT,12,25.0,-2.5594865507389226,-2.5594865507389226,97.44051344926106
324,CHRUSDT,6,16.666666666666664,-2.630864890390319,-2.630864890390319,97.36913510960969
325,AWEUSDT,19,26.31578947368421,-2.6657394487718395,-2.6657394487718395,97.33426055122814
326,AXSUSDT,10,30.0,-2.7226937977602725,-2.7226937977602725,97.27730620223974
327,BANDUSDT,11,27.27272727272727,-2.7514816294205082,-2.7514816294205082,97.24851837057948
328,ALTUSDT,11,36.36363636363637,-2.763277435408224,-2.763277435408224,97.23672256459176
329,SPACEUSDT,11,36.36363636363637,-2.7686657970185933,-2.7686657970185933,97.23133420298139
330,CUSDT,15,33.33333333333333,-2.778669052944065,-2.778669052944065,97.22133094705596
331,1000SHIBUSDT,16,31.25,-2.7854041359410218,-2.7854041359410218,97.21459586405895
332,DOGEUSDT,18,22.22222222222222,-2.7971171394325705,-2.7971171394325705,97.20288286056741
333,ACXUSDT,21,33.33333333333333,-2.816698737275864,-2.816698737275864,97.18330126272414
334,MAVUSDT,4,0.0,-2.8299324627711417,-2.8299324627711417,97.17006753722886
335,我踏马来了USDT,9,22.22222222222222,-2.966314907362887,-2.966314907362887,97.03368509263711
336,KASUSDT,17,35.294117647058826,-2.991130244143138,-2.991130244143138,97.00886975585686
337,GRTUSDT,10,30.0,-3.005286871069437,-3.005286871069437,96.99471312893057
338,DUSDT,5,20.0,-3.0102678977994572,-3.0102678977994572,96.98973210220053
339,NEIROUSDT,8,25.0,-3.0184279365849958,-3.0184279365849958,96.98157206341499
340,KSMUSDT,9,22.22222222222222,-3.025947891144929,-3.025947891144929,96.97405210885509
341,AAPLUSDT,22,31.818181818181817,-3.0751278049123,-3.0751278049123,96.92487219508769
342,DKNGUSDT,28,35.714285714285715,-3.0986774127925023,-3.0986774127925023,96.90132258720747
343,BIOUSDT,12,50.0,-3.1100606637816535,-3.1100606637816535,96.88993933621836
344,LRCXUSDT,19,31.57894736842105,-3.1174276062074195,-3.1174276062074195,96.88257239379259
345,POLYXUSDT,20,25.0,-3.151238254062694,-3.151238254062694,96.84876174593731
346,BREVUSDT,18,27.77777777777778,-3.155304148340453,-3.155304148340453,96.84469585165954
347,GIGGLEUSDT,5,20.0,-3.1752868768459983,-3.1752868768459983,96.82471312315401
348,NOKUSDT,43,37.2093023255814,-3.204176973073978,-3.204176973073978,96.79582302692602
349,NFLXUSDT,14,42.857142857142854,-3.2254674560390537,-3.2254674560390537,96.77453254396097
350,PUMPBTCUSDT,13,30.76923076923077,-3.2418918356473654,-3.2418918356473654,96.75810816435266
351,AXLUSDT,9,22.22222222222222,-3.26070455971701,-3.26070455971701,96.739295440283
352,FETUSDT,11,27.27272727272727,-3.270241428798884,-3.270241428798884,96.72975857120112
353,USTCUSDT,7,14.285714285714285,-3.3433837362062153,-3.3433837362062153,96.65661626379378
354,PENGUUSDT,12,33.33333333333333,-3.3502332666462085,-3.3502332666462085,96.6497667333538
355,IRENUSDT,29,34.48275862068966,-3.3686928722988876,-3.3686928722988876,96.6313071277011
